rssd9001,quarter_end,n_loans,total_amount,mean_spread
64619,2021-12-31,0,0.0000,362.5000
64619,2022-09-30,0,0.0000,
64619,2023-03-31,0,0.0000,250.0000
66015,2010-03-31,0,0.0000,250.0000
167565,2010-03-31,60,2710.0807,332.5247
167565,2010-06-30,134,7935.2422,294.7575
167565,2010-09-30,108,5527.5083,287.2042
167565,2010-12-31,129,7245.8844,299.7216
167565,2011-03-31,105,7120.6219,270.3925
167565,2011-06-30,112,7420.7784,241.3483
167565,2011-09-30,64,4540.8636,236.0789
167565,2011-12-31,136,9844.5370,218.4840
167565,2012-03-31,113,7078.3872,266.6588
167565,2012-06-30,119,7847.6570,248.5704
167565,2012-09-30,97,4455.0427,246.5382
